playerId,playerName,squadName,durationMins,centrePassReceivesTotal,feedWithAttemptTotal,feedsTotal,generalPlayTurnoversTotal,goalAssistsTotal,interceptPassThrownTotal,centrePassReceivesPer,feedWithAttemptPer,feedsPer,generalPlayTurnoversPer,goalAssistsPer,interceptPassThrownPer
1000231,E.Cosh,Fever,188.55,69,77,95,15,64,3,5.4892601431980905,6.125696101829753,7.557677008750995,1.1933174224343674,5.0914876690533015,0.23866348448687352
994213,E.Mannix,Vixens,447.1166666666667,0,0,0,4,0,1,0.0,0.0,0.0,0.13419316360383196,0.0,0.03354829090095799
1001717,E.Ryde,Magpies,181.0,0,12,15,14,9,3,0.0,0.9944751381215469,1.2430939226519337,1.160220994475138,0.7458563535911602,0.24861878453038672
1015271,G.Horjus,Thunderbirds,525.4166666666666,181,107,135,41,105,12,5.167327517842982,3.05471847739889,3.854084060269628,1.1704996034892943,2.997620935765266,0.34258524980174465
80010,G.Mentor,Magpies,661.9166666666666,0,0,0,7,0,1,0.0,0.0,0.0,0.15863024046330104,0.0,0.02266146292332872
991905,G.Simpson,Firebirds,647.1,89,6,11,22,3,9,2.0630505331478903,0.13908205841446453,0.2549837737598516,0.5099675475197032,0.06954102920723226,0.2086230876216968
1014126,G.Sinclair,Magpies,601.7666666666667,155,162,196,32,144,15,3.8636237744419213,4.038110009416718,4.885614579294301,0.7976513598847838,3.5894311194815267,0.3738990749459924
999128,H.Housby,Swifts,480.6333333333333,129,89,124,30,69,9,4.025937998474236,2.7775851307302863,3.869893890006242,0.9362646508079617,2.153408696858312,0.28087939524238853
999806,H.Petty,Thunderbirds,289.53333333333336,2,77,120,28,63,11,0.1036150126640571,3.989177987566198,6.216900759843425,1.4506101772967992,3.2638728989177985,0.569882569652314
993360,I.Colyer,Fever,413.0833333333333,179,118,184,21,97,11,6.499899132539843,4.284849707484366,6.681460560823079,0.7625579987895905,3.5222917086947754,0.3994351422231188
1009721,I.Venter,Firebirds,61.21666666666667,5,9,15,3,5,0,1.2251565477811053,2.2052817860059895,3.675469643343316,0.7350939286686632,1.2251565477811053,0.0
998408,J.Anstiss,Fever,626.7833333333333,52,38,50,13,31,6,1.2444491716967585,0.9094051639322467,1.1965857420161141,0.3111122929241896,0.7418831600499907,0.1435902890419337
80826,J.Fowler,Fever,652.5833333333334,0,14,27,29,7,3,0.0,0.3217979823777295,0.6206103945856212,0.6665815349252968,0.16089899118886475,0.06895671050951346
80150,J.Harten,GIANTS,623.0,100,106,133,35,92,12,2.4077046548956664,2.5521669341894064,3.202247191011236,0.8426966292134832,2.215088282504013,0.28892455858747995
1007220,J.Mi Mi,Firebirds,376.3333333333333,128,98,172,28,78,14,5.101860053144375,3.9061116031886622,6.8556244464127545,1.116031886625332,3.1089459698848536,0.558015943312666
1001716,J.Newton,Vixens,32.833333333333336,2,0,0,0,0,0,0.9137055837563451,0.0,0.0,0.0,0.0,0.0
80701,J.Price,GIANTS,653.3666666666667,0,190,261,39,145,14,0.0,4.3620223457986835,5.992041222386613,0.8953624815060456,3.328911790214785,0.321412172848324
80297,J.Russell,Lightning,199.66666666666666,16,13,19,8,9,4,1.2020033388981637,0.976627712854758,1.4273789649415694,0.6010016694490818,0.6761268781302171,0.3005008347245409
1011747,J.Ward,Magpies,536.7166666666667,32,0,0,18,0,9,0.8943266155327143,0.0,0.0,0.5030587212371518,0.0,0.2515293606185759
80577,J.Weston,Vixens,641.7833333333333,81,2,2,12,2,5,1.8931622821824603,0.0467447477082089,0.0467447477082089,0.28046848624925336,0.0467447477082089,0.11686186927052225
1014125,K.Altmann,Magpies,232.4,37,60,101,19,38,5,2.388123924268503,3.8726333907056802,6.518932874354562,1.2263339070567987,2.4526678141135974,0.32271944922547335
1001708,K.Austin,GIANTS,632.1333333333333,218,161,206,56,135,22,5.172959291288757,3.820396540814174,4.888209238557266,1.328833579413626,3.2034380932292765,0.5220417633410673
80575,K.Browne,Magpies,369.15,162,119,166,27,91,6,6.582689963429501,4.835432750914263,6.745225518082081,1.0971149939049167,3.697683868346201,0.24380333197887039
