team,player,durationOn,durationOff,absPlusMinusOn,absPlusMinusOff,perPlusMinusOn,perPlusMinusOff,relAbsPlusMinus,relPerPlusMinus
Magpies,M.Bragg,739.0333333333333,103.6,-85,-16,-1.7252266474223084,-2.3166023166023164,-69,0.5913756691800081
Vixens,L.Watson,653.7833333333333,69.05,92,7,2.110791036785887,1.5206372194062272,85,0.5901538173796599
Lightning,M.McAuliffe,563.3666666666667,279.8,5,-8,0.1331282172652506,-0.42887776983559683,13,0.5620059871008474
Lightning,K.Pretorius,813.1166666666667,29.7,-2,-1,-0.036895074507553235,-0.5050505050505051,-1,0.46815543054295183
Swifts,S.Craig,571.1833333333333,273.43333333333334,14,-1,0.3676577864666919,-0.054857978788248205,15,0.4225157652549401
Fever,O.Lewis,225.8,376.28333333333336,8,5,0.5314437555358723,0.19931788988793903,3,0.3321258656479333
Swifts,L.Moore,518.8166666666667,326.01666666666665,12,1,0.34694336470815,0.04600991769336946,11,0.30093344701478053
Swifts,M.Proud,552.1,232.21666666666667,9,1,0.2445209201231661,0.06459484676666905,8,0.17992607335649705
GIANTS,M.McDonell,132.66666666666666,408.85,-1,-7,-0.11306532663316583,-0.25681790387672737,6,0.14375257724356155
Magpies,M.Garrett,238.23333333333332,604.5166666666667,-27,-74,-1.7000139918847066,-1.8361776625954622,47,0.13616367071075564
GIANTS,C.Bassett,293.03333333333336,248.61666666666667,-1,-3,-0.05118871573199863,-0.18100154186498627,2,0.12981282613298764
Swifts,N.Styles,21.983333333333334,281.26666666666665,2,24,1.3646702047005306,1.2799241526428062,-22,0.08474605205772434
Vixens,A.Smith,69.46666666666667,170.63333333333333,2,4,0.43186180422264875,0.3516311779644462,-2,0.08023062625820254
Thunderbirds,M.Nankivell,784.0,59.583333333333336,-27,-2,-0.5165816326530612,-0.5034965034965034,-25,-0.013085129156557795
GIANTS,A.Brandley,259.93333333333334,402.4,-7,-6,-0.40394973070017953,-0.22365805168986086,-1,-0.18029167901031867
Firebirds,J.Mi Mi,425.31666666666666,176.63333333333333,-34,-11,-1.199106548062228,-0.9341385167012646,-23,-0.2649680313609635
Magpies,E.Ryde,181.0,240.3,-30,-35,-2.4861878453038675,-2.184769038701623,5,-0.3014188066022445
Lightning,C.Koenen,732.1333333333333,111.16666666666667,-5,2,-0.10244035694773265,0.2698650674662668,-7,-0.3723054244139995
Swifts,H.Housby,534.0333333333333,130.35,3,4,0.08426440297110044,0.4602991944764097,-1,-0.3760347915053093
Lightning,B.Hunt,50.666666666666664,190.58333333333334,1,10,0.29605263157894735,0.7870572802798426,-9,-0.4910046487008952
Lightning,P.Proscovia,212.18333333333334,570.25,-8,-2,-0.565548660749352,-0.0526085050416484,-6,-0.5129401557077036
Thunderbirds,H.Petty,316.78333333333336,285.75,-20,-7,-0.947019519124533,-0.3674540682414698,-13,-0.5795654508830632
Fever,S.Aryang,348.5,373.78333333333336,10,26,0.4304160688665709,1.0433852053328576,-16,-0.6129691364662867
Fever,S.Francis,618.7333333333333,224.15,42,25,1.0182092446934599,1.6729868391701985,17,-0.6547775944767387
Thunderbirds,S.van der Merwe,603.1666666666666,240.21666666666667,-29,0,-0.721193699917104,0.0,-29,-0.721193699917104
Thunderbirds,L.Potgieter,768.45,74.76666666666667,-30,1,-0.5855943782939683,0.20062416406598307,-31,-0.7862185423599514
Fever,K.Stanton,169.98333333333332,432.1333333333333,1,26,0.08824394548485147,0.9024992286331379,-25,-0.8142552831482864
Magpies,M.Browne,322.95,98.76666666666667,-32,-4,-1.4862981885740827,-0.6074924063449206,-28,-0.8788057822291621
Lightning,J.Russell,280.28333333333336,441.9,-14,5,-0.7492418386156865,0.16972165648336726,-19,-0.9189634950990537
Thunderbirds,S.Glasgow,188.61666666666667,293.4166666666667,-20,-12,-1.590527524962446,-0.6134620846350469,-8,-0.9770654403273991
GIANTS,K.Manu'a,705.3666666666667,137.08333333333334,-14,8,-0.29771749917300694,0.8753799392097263,-22,-1.1730974383827333
Thunderbirds,C.Pitman,625.9666666666667,156.6,-27,8,-0.6469993077373662,0.7662835249042145,-35,-1.4132828326415807
Swifts,T.Fraser,130.5,592.7666666666667,-7,25,-0.8045977011494253,0.6326266659168869,-32,-1.437224367066312
Magpies,K.Altmann,343.5,318.46666666666664,-61,-26,-2.6637554585152836,-1.224617961063429,-35,-1.4391374974518547
Vixens,M.Kumwenda,546.0833333333334,236.91666666666666,48,44,1.3184800854570429,2.7857896588111153,4,-1.4673095733540724
Fever,S.Eagland,71.01666666666667,289.4,-6,9,-1.2673081436282563,0.46648237733241193,-15,-1.7337905209606683
Firebirds,G.Simpson,827.1,15.466666666666667,-43,1,-0.7798331519767864,0.9698275862068967,-44,-1.749660738183683
Vixens,E.McDonald,90.0,150.1,-1,16,-0.16666666666666666,1.598934043970686,-17,-1.7656007106373528
Lightning,A.Lee-Jones,63.1,237.91666666666666,-17,-34,-4.041204437400951,-2.1436077057793343,17,-1.8975967316216162
Firebirds,R.Ellis,134.43333333333334,227.63333333333333,-30,-22,-3.3473840813290354,-1.4496998096353786,-8,-1.8976842716936568
Vixens,K.Dehaney,251.01666666666668,411.95,10,70,0.5975698824779231,2.548853016142736,-60,-1.9512831336648127
Fever,E.Cosh,320.6,340.7,8,53,0.37429819089207733,2.333431171118286,-45,-1.9591329802262085
Thunderbirds,S.Gooden,116.41666666666667,185.0,-18,-3,-2.3192555476020043,-0.24324324324324326,-15,-2.076012304358761
Swifts,N.Haythornthwaite,536.5333333333333,308.28333333333336,-19,32,-0.5311878727634195,1.5570092447423904,-51,-2.08819711750581
Swifts,K.Singleton,36.75,83.85,5,25,2.0408163265306123,4.47227191413238,-20,-2.4314555876017674
Thunderbirds,L.Guscoth,575.4,147.83333333333334,-39,14,-1.0166840458811262,1.4205186020293121,-53,-2.4372026479104383
Magpies,G.Sinclair,778.05,64.5,-103,2,-1.985733564680933,0.46511627906976744,-105,-2.4508498437507007
Vixens,T.Honey,133.6,168.61666666666667,1,29,0.11227544910179639,2.5798161510329147,-28,-2.467540701931118
Magpies,K.Browne,369.15,112.43333333333334,-57,6,-2.3161316537992684,0.8004743551734361,-63,-3.1166060089727043
Lightning,L.Scherian,793.1666666666666,49.65,-14,11,-0.2647615045177558,3.323262839879154,-25,-3.58802434439691
Vixens,J.Newton,32.833333333333336,209.65,-1,45,-0.4568527918781727,3.219651800620081,-46,-3.676504592498254
Firebirds,M.Gardner,194.58333333333334,468.25,-48,2,-3.700214132762313,0.06406833956219968,-50,-3.7642824723245125
GIANTS,C.O'Brien,28.266666666666666,151.8,-12,-14,-6.367924528301887,-1.3833992094861662,2,-4.984525318815721
GIANTS,J.Price,812.55,29.6,-17,11,-0.313826841425143,5.574324324324324,-28,-5.888151165749466
Lightning,A.Unie,25.316666666666666,155.11666666666667,-9,8,-5.332455562870309,0.7736112603416783,-17,-6.106066823211988
Firebirds,I.Venter,61.21666666666667,361.48333333333335,-31,-26,-7.5959705962428545,-1.0788879155332198,-5,-6.517082680709635
Firebirds,M.Stower,26.65,155.1,-28,-26,-15.75984990619137,-2.514506769825918,-2,-13.245343136365452
